district_id,city_id,region_id,local_seq,name_ar,name_en,center_lat,center_lon,bbox_min_lon,bbox_min_lat,bbox_max_lon,bbox_max_lat
10100443003,443,1,3,حي العزيزية,Al Aziziyah Dist.,25.2753172,45.8628313,45.8608387,25.271244,45.8667253,25.2809982
10100443004,443,1,4,حي الفيصلية,Al Faisaliyah Dist.,25.2816845,45.8590023,45.8550309,25.2780288,45.865179,25.2866404
10100443005,443,1,5,حي الجنادرية,Al Janadriyah Dist.,25.2700452,45.863214,45.8601176,25.2657614,45.8675297,25.2717837
10100500001,500,1,1,المنطقة الصناعية,Industrial Area,25.2559347,45.2779894,45.2732436,25.2498479,45.2825726,25.2648169
10100500002,500,1,2,حي غسلة,Gaslah Dist.,25.2229947,45.2922129,45.2887878,25.2199914,45.2949511,25.2261831
10100500003,500,1,3,حي الوقف,Al Wakf Dist.,25.2216843,45.2741657,45.2720559,25.2181576,45.2783921,25.2243331
10100500004,500,1,4,حي الشفاء,Ash Shifa Dist.,25.2302907,45.2485676,45.238217,25.2216044,45.2653064,25.240766
10100500005,500,1,5,حي الملك فهد,King Fahd Dist.,25.2469531,45.2492713,45.2401492,25.2409426,45.2557544,25.2507964
10100500006,500,1,6,حي الروضة,Ar Rawdah Dist.,25.2423509,45.2546561,45.2436818,25.2365635,45.2583319,25.247679
10100500007,500,1,7,حي النسيم,Al Naseem Dist.,25.2558629,45.2622206,45.2591079,25.2512551,45.2641342,25.2573703
10100500008,500,1,8,حي الوشم,Al Washm Dist.,25.2496527,45.2579475,45.2554548,25.2437583,45.2617687,25.2540096
10100500009,500,1,9,حي الرحبة,Al Rehab Dist.,25.2560331,45.2322375,45.2211118,25.2450423,45.240258,25.2590606
10100574001,574,1,1,حي الخالدية,Al Khalidiyah Dist.,25.3009399,45.5158099,45.5123918,25.2969126,45.5234317,25.3055263
10100574002,574,1,2,حي العزيزية,Al Aziziyah Dist.,25.297924,45.5283236,45.5212181,25.2908749,45.5347555,25.3019058
10100574003,574,1,3,حي الياسمين,Al Yasmin Dist.,25.2919634,45.5359627,45.5319017,25.2866556,45.5456424,25.2968255
10100574004,574,1,4,حي النزهة,An Nuzhah Dist.,25.2909384,45.5282643,45.5228024,25.2879783,45.5333732,25.2948879
10100574005,574,1,5,حي الصناعية,As Sinaiyah Dist.,25.2959691,45.4899717,45.4849088,25.2906251,45.4944148,25.3011363
10100574006,574,1,6,حي الديرة,Ad Dirah Dist.,25.2966313,45.5061838,45.5032763,25.2943715,45.5088416,25.3007584
10100574007,574,1,7,حي الفيصلية,Al Faisaliyah Dist.,25.2988855,45.5389837,45.5315673,25.293828,45.5453636,25.3029826
10100574008,574,1,8,حي الشرفية,Ash Sharafiyah Dist.,25.2945796,45.514523,45.5120697,25.2912669,45.5165814,25.2971489
10100574009,574,1,9,حي النهضة,An Nahdah Dist.,25.2960743,45.518931,45.5137294,25.291802,45.5302816,25.3016103
